datetime_beginning_ept,load_area,mw,year,black_friday
2016-11-01 07:00:00,AEPKPT,608.081,2016,2016-11-25
2016-11-01 07:00:00,AEPOPT,6146.757,2016,2016-11-25
2016-11-01 07:00:00,AP,5598.292,2016,2016-11-25
2016-11-01 07:00:00,OE,7195.578,2016,2016-11-25
2016-11-01 07:00:00,PAPWR,606.69,2016,2016-11-25
2016-11-01 07:00:00,CE,10199.125,2016,2016-11-25
2016-11-01 07:00:00,DAY,1973.0,2016,2016-11-25
2016-11-01 07:00:00,DEOK,2880.565,2016,2016-11-25
2016-11-01 07:00:00,DUQ,1483.352,2016,2016-11-25
2016-11-01 07:00:00,RTO,86787.12,2016,2016-11-25
2016-11-01 07:00:00,DOM,10302.201,2016,2016-11-25
2016-11-01 07:00:00,EKPC,1201.79,2016,2016-11-25
2016-11-01 08:00:00,AE,1036.667,2016,2016-11-25
2016-11-01 08:00:00,BC,3326.42,2016,2016-11-25
2016-11-01 08:00:00,DPLCO,1987.271,2016,2016-11-25
2016-11-01 08:00:00,EASTON,30.777,2016,2016-11-25
2016-11-01 08:00:00,JC,2515.541,2016,2016-11-25
2016-11-01 08:00:00,ME,1888.018,2016,2016-11-25
2016-11-01 08:00:00,PE,4418.968,2016,2016-11-25
2016-11-01 08:00:00,PEPCO,2928.734,2016,2016-11-25
2016-11-01 08:00:00,SMECO,362.948,2016,2016-11-25
2016-11-01 08:00:00,PLCO,5110.392,2016,2016-11-25
2016-11-01 08:00:00,UGI,134.188,2016,2016-11-25
2016-11-01 08:00:00,PN,2122.524,2016,2016-11-25
2016-11-01 08:00:00,PS,4842.383,2016,2016-11-25
2016-11-01 08:00:00,RECO,164.052,2016,2016-11-25
2016-11-01 08:00:00,AEPAPT,4143.395,2016,2016-11-25
2016-11-01 08:00:00,AEPIMP,3291.252,2016,2016-11-25
2016-11-01 08:00:00,AEPKPT,606.268,2016,2016-11-25
2016-11-01 08:00:00,AEPOPT,6088.538,2016,2016-11-25
2016-11-01 08:00:00,AP,5523.661,2016,2016-11-25
2016-11-01 08:00:00,OE,7146.424,2016,2016-11-25
2016-11-01 08:00:00,PAPWR,578.648,2016,2016-11-25
2016-11-01 08:00:00,CE,10857.795,2016,2016-11-25
2016-11-01 08:00:00,DAY,1973.0,2016,2016-11-25
2016-11-01 08:00:00,DEOK,2861.558,2016,2016-11-25
