test_year,train_years,load_area,n_predictions,mse,rmse,mae,mape,avg_actual,avg_predicted
2021,2017-2018-2019-2020,RECO,240,59.75445187213541,7.7301003791759015,6.393388541666667,4.539769251959766,142.83523333333332,148.14174895833335
2021,2017-2018-2019-2020,RTO,240,31976222.82075145,5654.7522333654415,4643.014652083333,5.337069285043251,86506.79672916667,85223.16429166666
2021,2017-2018-2019-2020,SMECO,240,5483.98715020651,74.05394756666595,64.39334270833334,15.98574963432946,411.57363333333336,396.388553125
2021,2017-2018-2019-2020,UGI,240,88.27663422656248,9.395564603926816,7.597777083333333,6.140287437106977,125.26860833333333,124.1319375
2021,2017-2018-2019-2020,VMEU,240,34.17319265442708,5.84578417788641,4.4736239583333335,6.140828303686059,71.49980833333333,67.78480520833334
2022,2018-2019-2020-2021,AECO,240,5594.08255435703,74.79359968845617,61.95207395833333,6.787325201032273,937.8300374999999,933.6698322916666
2022,2018-2019-2020-2021,AEPAPT,240,349528.17934708856,591.2090825986087,512.2989645833334,10.54462955993761,4778.905199999999,4454.959016666666
2022,2018-2019-2020-2021,AEPIMP,240,44692.48315784479,211.40596764955524,172.81294166666666,5.582214411157215,3080.4610875000003,2998.8085520833333
2022,2018-2019-2020-2021,AEPKPT,240,14531.163858615104,120.5452772140622,102.43210833333333,12.848270898296043,763.9604083333332,681.5409208333333
2022,2018-2019-2020-2021,AEPOPT,240,435733.9066176047,660.1014366122866,557.06705625,8.311470238331138,6585.401008333333,6156.626664583334
2022,2018-2019-2020-2021,AP,240,471831.5787612656,686.8999772610752,569.73559375,9.148931347216498,6048.562645833333,5600.172458333333
2022,2018-2019-2020-2021,BC,240,119434.94364303231,345.5936105356005,262.38033125000004,7.299782697243057,3491.5043166666665,3359.0085375
2022,2018-2019-2020-2021,CE,240,567914.6256125045,753.6011051030276,629.9580072916668,6.125022872521768,10330.591612499999,10172.764317708334
2022,2018-2019-2020-2021,DAY,240,31710.2625,178.0737557867526,153.29166666666666,7.948817775053012,1979.9416666666666,1928.5479166666667
2022,2018-2019-2020-2021,DEOK,240,99851.18821804949,315.9923863292429,273.14095625,9.038257576568135,2990.5162333333333,2802.8698791666666
2022,2018-2019-2020-2021,DOM,240,4931095.564703685,2220.6070261763302,1895.6703989583334,13.75160513707456,13280.7701625,11386.629617708333
2022,2018-2019-2020-2021,DPLCO,240,71023.05488013152,266.501510089777,208.69802604166668,9.574774523417966,2096.071895833333,1979.8689010416667
2022,2018-2019-2020-2021,DUQ,240,13401.451251765362,115.76463731107769,98.34449270833333,6.607959475409668,1481.4111083333332,1423.7128635416668
2022,2018-2019-2020-2021,EASTON,240,18.993300049218753,4.358130338713925,3.3951260416666664,10.836810282507493,30.189825,28.372609375000003
2022,2018-2019-2020-2021,EKPC,240,145850.0268045672,381.9031641719759,318.9688895833333,16.765813045170873,1792.6841083333334,1527.4891937500001
2022,2018-2019-2020-2021,JC,240,24182.635339220826,155.50766971188534,130.35926041666664,5.763135839211577,2296.889983333333,2313.978552083333
2022,2018-2019-2020-2021,ME,240,19154.133404245837,138.39845882178687,109.22919166666667,5.934947663849386,1821.2948083333333,1747.3386979166667
2022,2018-2019-2020-2021,OE,240,301440.93153624533,549.0363663148784,473.18895,6.7920913216003145,6951.923979166666,6666.083245833333
2022,2018-2019-2020-2021,OVEC,240,112.81944444444444,10.621649798616241,9.044444444444444,19.662617190326216,43.858333333333334,35.25833333333333
2022,2018-2019-2020-2021,PAPWR,240,2989.549903088542,54.67677663403853,47.92812708333334,8.450182581978853,570.3133208333333,551.7712916666666
2022,2018-2019-2020-2021,PE,240,93433.57717802553,305.6690648037932,247.0119833333333,5.71795428098186,4299.181158333333,4214.558010416667
2022,2018-2019-2020-2021,PEPCO,240,48808.71139900911,220.9269367890867,173.02222812499997,6.301077228251102,2729.7703625,2670.2610156250003
2022,2018-2019-2020-2021,PLCO,240,180775.47553506872,425.1769931864479,344.3451895833333,7.077998833334973,4813.438787499999,4585.432747916667
2022,2018-2019-2020-2021,PN,240,19679.219149742705,140.28264022944074,109.76133333333334,5.289394650810167,2061.2023541666667,2000.5744395833333
2022,2018-2019-2020-2021,PS,240,77702.49995701744,278.7516815321792,216.7912114583333,4.662019062105163,4633.576745833334,4484.0184677083325
2022,2018-2019-2020-2021,RECO,240,43.88884606822917,6.624865739637987,5.523583333333333,3.844256223249256,145.51116666666667,145.9742916666667
2022,2018-2019-2020-2021,RTO,240,70277515.16494088,8383.168563552857,6979.296677083332,7.555161534518957,90673.32767500001,85436.93335624998
2022,2018-2019-2020-2021,SMECO,240,5485.950539666666,74.06720286109545,56.02639583333333,12.063192942708278,435.0347958333333,401.387125
2022,2018-2019-2020-2021,UGI,240,152.22807692499998,12.338074279440855,10.2704625,7.861548879466129,130.38385416666668,125.01095
2022,2018-2019-2020-2021,VMEU,240,25.85779925312501,5.085056465087188,4.077189583333334,5.675201181607261,72.14670833333334,69.05948958333335
2023,2019-2020-2021-2022,AECO,240,6676.140251586979,81.70765112024074,62.403272916666666,7.453964888550395,885.2001500000001,920.9021708333333
2023,2019-2020-2021-2022,AEPAPT,240,260231.8970749177,510.12929446848835,394.96959791666666,9.769788113863855,4219.778220833334,4518.18639375
2023,2019-2020-2021-2022,AEPIMP,240,29882.98346678203,172.86695307889832,142.898628125,5.0458012536216845,2861.2230916666667,2980.842967708333
2023,2019-2020-2021-2022,AEPKPT,240,7802.039767596093,88.32915581842778,66.31130312500001,10.767890430450198,645.0529291666667,684.7602239583333
2023,2019-2020-2021-2022,AEPOPT,240,96107.4294832638,310.0119828059293,260.62388020833333,4.235673874589001,6218.006945833333,6159.095017708333
2023,2019-2020-2021-2022,AP,240,220947.6186774276,470.0506554377173,373.0524666666667,7.217632120856793,5337.115233333333,5610.744779166666
2023,2019-2020-2021-2022,BC,240,105335.55561510887,324.55439546416386,272.94530208333333,9.151562852839442,3102.106591666666,3330.4420520833332
2023,2019-2020-2021-2022,CE,240,567767.84761999,753.5037144035788,646.4991083333332,6.896630430235712,9475.898145833333,10072.092302083332
2023,2019-2020-2021-2022,DAY,240,13386.41953125,115.69969546740388,96.01145833333334,5.383040362657147,1833.3666666666666,1892.6635416666666
2023,2019-2020-2021-2022,DEOK,240,44405.71962581198,210.72664669142338,178.43027500000002,6.818991020300278,2676.2316416666667,2823.8619625
2023,2019-2020-2021-2022,DOM,240,1367516.5823519502,1169.408646432867,996.7912322916666,7.833017125689562,12613.918895833334,11811.147313541667
2023,2019-2020-2021-2022,DPLCO,240,41592.0623822638,203.94132092899613,160.208871875,9.133127870799816,1862.7891208333335,1974.0410260416668
2023,2019-2020-2021-2022,DUQ,240,3830.059128672917,61.887471500077595,51.09396666666667,3.6111844303358143,1408.4455916666668,1417.1549479166667
2023,2019-2020-2021-2022,EASTON,240,13.02326137890625,3.6087756066159407,2.8371489583333327,11.677463392458094,26.41391666666667,28.245942708333338
2023,2019-2020-2021-2022,EKPC,240,66874.61311497344,258.60126278688864,209.36622916666667,13.45324211590762,1562.6587666666667,1568.1212395833334
2023,2019-2020-2021-2022,JC,240,25593.531381860157,159.979784291204,123.77159895833333,5.826129612501833,2196.1549583333335,2273.2669802083333
2023,2019-2020-2021-2022,ME,240,24723.822614033594,157.23810802103156,134.32040729166667,8.528350893523674,1616.5985250000003,1738.8935343750002
2023,2019-2020-2021-2022,OE,240,64588.88539569583,254.14343468934197,210.46450416666664,3.2057377766389012,6624.5285791666665,6646.380441666666
2023,2019-2020-2021-2022,OVEC,240,66.79635416666666,8.17290365578028,5.9625,14.210828977137794,39.88333333333333,37.40833333333333
2023,2019-2020-2021-2022,PAPWR,240,1679.1262968330727,40.977143590458724,33.07120104166666,6.4920046354170315,514.4697541666667,542.3440260416667
2023,2019-2020-2021-2022,PE,240,80926.84038034767,284.4764320296985,235.0827989583334,6.142651318370813,3944.909679166667,4148.806984375
2023,2019-2020-2021-2022,PEPCO,240,45691.51703558593,213.75574152659837,182.1432708333333,7.65173238711629,2460.0513250000004,2620.1800229166665
2023,2019-2020-2021-2022,PLCO,240,148205.1147124893,384.97417408507977,315.1740864583333,7.591291675549533,4290.495929166666,4564.162713541667
2023,2019-2020-2021-2022,PN,240,15441.306721322135,124.26305453079019,108.19337187499998,5.850241466330428,1879.0433208333334,1981.057434375
2023,2019-2020-2021-2022,PS,240,45916.28855200573,214.28086370930498,160.54063124999996,3.7098963071680813,4402.504025,4456.618797916667
2023,2019-2020-2021-2022,RECO,240,35.44781847109373,5.953807056925319,4.842734375,3.4222645648002072,141.60536249999998,143.72921354166667
2023,2019-2020-2021-2022,RTO,240,22833902.9968683,4778.483336464437,3865.3161083333334,4.738362201938029,83402.29202916665,85538.59008541665
2023,2019-2020-2021-2022,SMECO,240,3457.23281074401,58.79823816020349,45.92073229166667,13.39520847621595,374.8469666666667,400.28446562500005
2023,2019-2020-2021-2022,UGI,240,94.88678907630207,9.740985015710786,7.803263541666666,6.872023908892453,118.90443333333333,123.61542395833334
2023,2019-2020-2021-2022,VMEU,240,25.878655316927084,5.087106772707556,3.1004468750000003,4.492519281572297,70.08992916666668,69.53983229166667
2024,2020-2021-2022-2023,AECO,240,6103.143183649218,78.12261633899122,58.434890625,6.605757057686752,901.5681750000001,909.6116364583334
2024,2020-2021-2022-2023,AEPAPT,240,296586.3296801684,544.5974014629232,437.32841354166663,10.300662053460172,4376.9644375,4459.748894791667
2024,2020-2021-2022-2023,AEPIMP,240,29448.16235683568,171.60466880838553,147.20725104166667,5.096210836025894,2925.715029166667,2955.998753125
