load_area,feature,importance,importance_norm
AEPOPT,peak_hour_lag_2d,0.056713782250881195,0.05671377612389807
AEPOPT,peak_hour_lag_3d,0.041690975427627563,0.04169097092360945
AEPOPT,peak_hour_lag_4d,0.06879980117082596,0.06879979373814904
AEPOPT,peak_hour_lag_5d,0.06042782589793205,0.06042781936970815
AEPOPT,peak_hour_lag_6d,0.03762662038207054,0.037626616317138546
AEPOPT,peak_hour_lag_7d,0.07609976828098297,0.07609976005966573
AEPOPT,peak_hour_lag_8d,0.0482218861579895,0.04822188094841485
AEPOPT,peak_hour_lag_9d,0.03638382628560066,0.03638382235493195
AEPOPT,peak_hour_bf_lag_1yr,0.03590843826532364,0.03590843438601271
AEPOPT,peak_hour_bf_lag_2yr,0.03423813357949257,0.03423812988063035
AEPOPT,peak_hour_bf_lag_3yr,0.034284573048353195,0.034284569344473964
AEPOPT,peak_hour_bf_lag_4yr,0.04334048926830292,0.0433404845860822
AP,day_of_week,0.07115492969751358,0.07115493380614174
AP,month,0.2208753228187561,0.22087533557253966
AP,day_of_month,0.028231408447027206,0.028231410077165276
AP,is_blackfriday,0.0,0.0
AP,is_thanksgiving,0.0,0.0
AP,days_from_bf,0.15291732549667358,0.15291733432642624
AP,peak_hour_lag_2d,0.07192090898752213,0.07192091314037946
AP,peak_hour_lag_3d,0.04689374566078186,0.046893748368520664
AP,peak_hour_lag_4d,0.0494907908141613,0.04949079367185869
AP,peak_hour_lag_5d,0.03735237196087837,0.037352374117679145
AP,peak_hour_lag_6d,0.04065613076090813,0.04065613310847455
AP,peak_hour_lag_7d,0.06197414919734001,0.06197415277585152
AP,peak_hour_lag_8d,0.03565254062414169,0.0356525426827908
AP,peak_hour_lag_9d,0.05409746244549751,0.05409746556919335
AP,peak_hour_bf_lag_1yr,0.030991721898317337,0.030991723687841435
AP,peak_hour_bf_lag_2yr,0.03189828619360924,0.03189828803548017
AP,peak_hour_bf_lag_3yr,0.029515603557229042,0.02951560526151911
AP,peak_hour_bf_lag_4yr,0.03637724369764328,0.03637724579813819
BC,day_of_week,0.03495030850172043,0.03495030815180781
BC,month,0.17495086789131165,0.17495086613975297
BC,day_of_month,0.0030996573623269796,0.0030996573312940855
BC,is_blackfriday,0.0,0.0
BC,is_thanksgiving,0.0,0.0
BC,days_from_bf,0.08602654188871384,0.0860265410274404
BC,peak_hour_lag_2d,0.0663280189037323,0.06632801823967491
BC,peak_hour_lag_3d,0.20923706889152527,0.20923706679670284
BC,peak_hour_lag_4d,0.1782674789428711,0.17826747715810745
BC,peak_hour_lag_5d,0.022765880450606346,0.022765880222680782
BC,peak_hour_lag_6d,0.04178948700428009,0.04178948658589555
